COUNTRY,PERNUM,AGE,SEX,MARST,INDIG,EDATTAIN,YRSCHOOL,EMPSTAT,INCEARN
484,9,24,1,1,1,2,9,1,2400
484,3,7,2,1,2,1,1,0,99999999
840,1,43,1,1,2,4,13,1,103000
840,2,59,2,2,2,4,13,3,0
484,5,53,2,2,1,1,2,3,99999999
484,4,14,1,1,2,2,9,3,99999999
484,2,17,2,1,2,2,11,3,99999999
484,9,32,2,3,1,2,11,1,3857
840,1,52,1,2,2,3,12,1,18200
840,1,72,1,2,2,4,13,3,0
484,3,0,1,1,2,0,99,0,99999999
484,2,54,2,2,2,1,0,3,99999999
484,3,19,2,1,1,3,13,1,3857
484,2,0,1,1,2,0,99,0,99999999
840,4,14,2,1,2,2,8,0,0
840,4,39,2,1,2,3,12,3,0
484,3,56,2,2,2,2,6,3,99999999
484,4,33,2,2,2,4,17,1,15000
840,2,71,2,2,2,3,12,3,0
484,5,35,2,2,2,4,17,3,99999999
840,1,48,1,3,2,3,12,1,24000
840,1,33,2,1,2,4,13,1,28000
484,3,40,2,2,1,3,12,3,99999999
484,1,64,1,2,2,2,9,1,3200
484,8,17,1,1,1,2,9,1,99999998
484,1,48,1,3,2,2,8,1,3857
484,3,20,2,1,2,3,12,1,4071
840,2,47,2,2,2,3,12,1,14000
484,2,14,1,1,2,2,8,3,99999999
484,1,27,2,2,1,3,12,3,99999999
484,1,29,1,2,2,1,1,1,4714
484,3,30,1,1,1,3,12,3,99999999
484,2,14,1,1,2,2,7,3,99999999
484,6,7,1,1,1,1,1,0,99999999
484,3,0,2,1,1,0,99,0,99999999
840,1,38,1,2,2,3,13,1,20000
484,6,7,2,1,2,1,1,0,99999999
484,2,57,2,2,1,2,6,3,99999999
484,4,49,1,2,2,1,3,1,6429
484,4,31,1,2,2,3,12,1,3857
484,1,69,1,2,1,1,0,3,99999999
484,1,43,2,2,9,2,8,3,99999999
484,1,70,2,1,2,1,0,3,99999999
484,1,55,2,4,1,1,0,3,99999999
484,2,5,2,1,2,1,0,0,99999999
840,2,35,1,2,2,4,13,1,110000
484,4,13,1,1,1,2,6,3,99999999
840,3,7,1,1,2,1,1,0,0
840,2,53,2,2,2,4,13,3,5000
840,1,39,2,3,2,4,13,1,75000
484,4,45,2,2,2,3,15,1,6429
840,2,53,2,2,2,3,13,1,54000
